episode,run_0,run_1,run_2,run_3
342,-60.57500371980088,-61.339900748059605,-66.63053013015491,-55.21872700468293
343,-62.27049705437757,-84.23741715244634,-42.39138521895953,-91.74433592759368
344,-66.92649843076231,-69.20897515541847,-50.45335872269536,-65.8310458399589
345,-43.4684545149263,-72.3515962907249,-43.66880904606249,-78.18903688905212
346,-43.08323429147431,-85.10148937880086,-62.882708370681605,-36.23310792134171
347,-43.112614174637976,-43.52224767837997,-49.99744671051833,-61.50691709459528
348,-67.27531209992723,-60.47712142190712,-87.67519706371056,-37.6259754701064
349,-56.61238010160496,-39.83961211597673,-91.15614062767987,-35.15723664889679
350,-42.451243897621325,-63.351899019329565,-40.39070584492024,-70.00230269671287
351,-51.67685122941784,-65.65389498301964,-70.36270609894328,-15.114511246834091
352,-85.45687256718682,-222.636506068602,-61.72042558446917,-56.1806341220508
353,-73.79418805991538,-65.69379465647073,-44.313108223279286,-64.28157602094196
354,-39.84640887677774,-65.11349709141854,-67.73538352273171,-43.26374287400585
355,-79.26425444189968,-228.40037076167977,-72.03158068661443,-58.87150637951642
356,-59.36854460377791,-74.55449522563785,-58.856342638899136,-45.08785832090892
357,-39.113345704673605,-36.978286203344425,-88.19398051463764,-38.699821855217365
358,-73.82247769619671,-228.0500409417028,-61.2413734470839,-34.345334845213785
359,-47.83022591600688,-224.9504619927874,-46.0069552566512,-14.242744442165847
360,-63.23299232518213,-74.46077571876388,-60.64869732058463,-66.76272105688372
361,-49.96791189084643,-41.86470445921085,-74.57994040635712,-33.77596989648022
362,-63.10028982254554,-69.13377986730055,-55.76488648530369,-54.899462368578526
363,-36.99751187402167,-56.69827288955305,-37.54105056871156,-63.24797146281092
364,-71.8775385315027,-63.45761717230867,-75.05499523811669,-66.1693527265326
365,-78.22532426024671,-63.74985970080487,-64.9808451197517,-38.3015032622199
