episode,run_0,run_1,run_2,run_3,run_4
252,-144.1412237319637,-152.00894945932498,-155.07632168141404,-145.3997381435823,-219.9702749024517
253,-197.7069281703584,-16.667720910267217,-203.1332977491325,-141.2100795207644,-153.76651657703522
254,-143.99869736751998,-118.67934475278788,-115.03709642679168,-122.60708042554214,-183.48881421852758
255,-118.7740392958587,-162.60286545073865,-10.81992401562545,-10.217075073202093,-152.41504206342753
256,-155.33454839838035,-182.4185823819681,-115.1518099289539,-155.12490540404758,-31.535650190000197
257,-178.13256516391982,-141.24455665613883,-146.97249516542388,-201.8331449909708,-195.70170300198265
258,-65.25614620626874,-165.69033974662764,-17.757760993955653,-140.7094894329282,-129.78343502787814
259,-154.02257542113327,-145.0747985300666,-121.01825044099118,-134.79446457339844,-144.0729878462905
260,-129.1324115506454,-18.29577479004766,-132.57720755808924,-155.7875200914459,-121.39401504874034
261,-179.7782725098312,-149.4443127928063,-119.19495692727828,-163.1701065873054,-134.38401776323974
262,-138.1080604734779,-166.3740199317079,-182.81426049952807,-174.05664952416788,-79.05399934702237
263,-122.09282183972228,-151.3229976458602,-113.9631858171148,-148.147418372422,-159.75083794498983
264,-117.65232120741544,-232.96491748694635,-162.8317959270706,-217.48494623857545,-96.31685620732064
265,-158.66157593463785,-121.48651976184104,-136.70782706752078,-131.74156768953645,-126.93706969099644
266,-24.897580136612973,-175.57075141296085,-220.1909630393416,-138.2882639424235,-13.837587525468594
267,-180.7496659066312,-118.92544863185992,-14.317474721342547,-137.38455647912258,-119.03286892050144
268,-174.04211176836577,-216.0542722022388,-156.56996147431497,-13.559296035713023,-138.86078453384323
269,-197.85978719930483,-136.97292345956794,-132.79673265561016,-155.17875515390529,-122.64266494609724
270,-115.01713319620508,-123.36945155083409,-117.23173571287182,-162.36251494322636,-27.974247225086376
271,-193.19446277591905,-129.88879655773033,-193.5922739882577,-127.0692844381171,-158.42644319750679
272,-24.7123362429173,-133.46096175403477,-129.86665042580378,-160.5340489333458,-146.31364198087448
273,-163.67953584914133,-166.8054811423275,-240.67235617641984,-169.15764522672234,-249.88773333912948
274,-171.8689398348655,-182.46921489903065,-136.19796326698852,-14.205581416143351,-124.4572323954666
275,-143.98258724705988,-119.91160319322988,-117.20409985273564,-189.5339300248668,-158.56813897595487
276,-132.37056435548126,-211.8999341783324,-143.19581418410235,-132.60120394557217,-146.2207559104918
