episode,run_0,run_1
351,-68.8813407940432,-33.227518229899644
352,-67.27531377797165,-68.23279095553671
353,-33.15012980031567,-82.19705756208694
354,-67.69357724466914,-64.840417988834
355,-36.96663519356639,-65.99557342176048
356,-31.154593542148007,-67.53465240470811
357,-67.04361947090717,-70.80367572826262
358,-77.74480220979197,-34.9014958972617
359,-79.63525238900691,-31.697966591763002
360,-39.01623035617238,-62.67615128750841
361,-66.45679724609404,-81.62127494304416
362,-34.80036207163719,-63.61176706353869
363,-64.16897078658148,-64.66669752440927
364,-36.72540085344846,-35.93095509645152
365,-32.364880194282165,-65.2399928206221
366,-67.42217139431715,-64.0727479645383
367,-223.3676730593925,-62.65953556915986
368,-33.730693593321085,-69.86983523126062
369,-61.75564737887446,-50.60330546612529
370,-67.02976467775781,-40.21521497856013
371,-68.70817763605926,-42.13738095629141
372,-64.24074963557484,-67.25632877953507
373,-70.88060544573426,-32.025192421078884
374,-165.52076108206705,-44.09586800235623
375,-68.77073264451687,-41.57838222430797
376,-33.645316681511915,-49.231837359867825
377,-36.142921718064656,-66.10578953788699
378,-63.8936250667971,-73.46878544754489
379,-57.25506127271648,-48.082603651797434
380,-42.06099190555888,-37.32137918566908
381,-61.850690091874746,-65.12712840512245
382,-55.41648120908447,-31.198479282076995
383,-70.14275710471848,-32.63608361181802
384,-63.39444306727268,-67.05602090629259
385,-34.92109265048955,-72.52090745563834
386,-33.01472442326837,-92.5489767570497
387,-69.00644917280871,-75.23649835324701
388,-77.99284818813112,-60.416731451241894
389,-50.0108644556756,-64.55661619529252
390,-76.39277934328,-32.52269539547244
391,-40.35808577050808,-39.67766598118021
392,-32.92787780127609,-50.25184457059859
393,-34.87255917599725,-67.98433613246308
394,-60.59332855259554,-65.625558104283
395,-76.07085708502574,-62.34892595266869
396,-31.68989078108273,-75.89050574918625
397,-38.6042255131285,-50.602086951954
398,-90.4478060870663,-66.51713978821554
399,-73.00860036439325,-72.84264146689594
400,-65.56933526033615,-42.0045535905751
401,-64.4128415944318,-37.662323289492335
402,-118.48211674624363,-72.45595159334398
403,-62.03886545458279,-60.50857109365109
404,-35.0531128720797,-73.1976133936951
405,-68.83481611734798,-34.007570657336174
406,-36.13935888774912,-38.03066734400026
407,-31.965540535978064,-69.52139973014057
408,-76.5542038536466,-40.53513776039933
409,-43.19076477076193,-62.387367282105515
