step,run_0,run_1
575488,-2.616702264919877,-2.670998839661479
577536,-2.617228431254625,-2.6689343795180323
579584,-2.615827051922679,-2.6686373695731165
581632,-2.615239854156971,-2.668757539242506
583680,-2.612720011174679,-2.6681655522435905
585728,-2.613145210966468,-2.6683409102261066
587776,-2.613228466361761,-2.6695405039936304
589824,-2.6143547385931014,-2.6693431716412306
591872,-2.615257665514946,-2.6691462438553573
593920,-2.61624275073409,-2.6698486767709255
595968,-2.6156577289104463,-2.6679801370948555
598016,-2.6158292099833487,-2.6660893596708775
600064,-2.6146764770150184,-2.665429826080799
602112,-2.6137094642966985,-2.664737080782652
604160,-2.6123884819448,-2.661019391566515
606208,-2.609611190855503,-2.6592335775494576
608256,-2.6081593673676253,-2.6572728522121905
610304,-2.6049260761588813,-2.6557205580174923
612352,-2.603529181703925,-2.6537909392267465
614400,-2.604022106900812,-2.6532875921577217
616448,-2.604024287313223,-2.6510592136532067
618496,-2.6064374398440124,-2.649078441783786
620544,-2.60928212851286,-2.6489561732858418
622592,-2.6106924641877414,-2.6482108060270546
624640,-2.6095254395157097,-2.6478738710284233
626688,-2.60807852037251,-2.647767573967576
628736,-2.608610001578927,-2.648879377171397
630784,-2.609057989344001,-2.6469373855739833
632832,-2.6082246847450734,-2.6469543371349573
634880,-2.608622645586729,-2.646090790629387
636928,-2.608675282076001,-2.6435890320688484
638976,-2.6101134296506645,-2.643479086831212
641024,-2.609177464619279,-2.643157920613885
643072,-2.606398218125105,-2.642409877106547
645120,-2.607942993566394,-2.642579573392868
647168,-2.607076967135072,-2.6417830388993027
649216,-2.6064695116132497,-2.6413144592195748
651264,-2.606619644910097,-2.641080279648304
653312,-2.604270312190056,-2.638501960784197
655360,-2.603919857740402,-2.6369098518043756
657408,-2.6031361844390632,-2.6383725702762604
659456,-2.601548423245549,-2.6387807630002498
661504,-2.601257847622037,-2.6403945796191692
663552,-2.600860081613064,-2.6394991751760246
665600,-2.601448528841138,-2.639113949239254
667648,-2.598977465182543,-2.637730236724019
669696,-2.5976363617926834,-2.6384912244975567
671744,-2.595425137877464,-2.636720872670412
673792,-2.5961089059710503,-2.6367239378392697
675840,-2.593091334402561,-2.6360635850578547
677888,-2.591834574192762,-2.635429011657834
679936,-2.5901014022529125,-2.635247913002968
681984,-2.588396228849888,-2.636082226037979
684032,-2.5868652489036323,-2.635990121215582
686080,-2.587143402546644,-2.637454544380307
688128,-2.589583143591881,-2.6380044210702183
690176,-2.589565439894796,-2.63778190985322
692224,-2.587971997633576,-2.6380087446421383
694272,-2.587485414743424,-2.6375930357724426
696320,-2.58634360358119,-2.6362256683409213
698368,-2.584553987160325,-2.636184668913484
700416,-2.5829989321529867,-2.637410442903638
702464,-2.5819857239723207,-2.6363892905414104
704512,-2.581056696176529,-2.6373597543686627
706560,-2.581156483665109,-2.6393897239118815
708608,-2.581741391867399,-2.638685202971101
710656,-2.582273114472628,-2.63765510879457
712704,-2.5807281844317917,-2.6375929456204177
714752,-2.5806559272110463,-2.637483074516058
716800,-2.579751954227686,-2.635685058310628
718848,-2.579113554954529,-2.6340604811906814
720896,-2.5778866704553365,-2.633240980654955
722944,-2.5790953677147628,-2.6331356901675464
724992,-2.5788386836647987,-2.6370145220309498
727040,-2.580178402736783,-2.6368423525243996
729088,-2.5806159909814594,-2.637095544859767
731136,-2.580032636970281,-2.6370088800787927
733184,-2.5780210092663767,-2.63710217513144
735232,-2.5784422401338816,-2.6375716503709556
737280,-2.5778272572904823,-2.63717422708869
739328,-2.5766013879328966,-2.6366116631776095
741376,-2.575014597922564,-2.6375031996518374
743424,-2.5739877432584763,-2.6376635517925022
745472,-2.5724603068083525,-2.63621425293386
747520,-2.5703308925032617,-2.636286561191082
749568,-2.5718039847910403,-2.637804341688752
751616,-2.570803475007415,-2.6382478181272746
753664,-2.568756954744458,-2.6394840639084576
755712,-2.567400038614869,-2.640876515209675
757760,-2.567606685683131,-2.641253950446844
759808,-2.5656448043882847,-2.641210688650608
761856,-2.564975544810295,-2.6392600167542697
763904,-2.5648191560059788,-2.63904064334929
765952,-2.5646486673504114,-2.6384050719439984
768000,-2.563973392918706,-2.6370787400752307
770048,-2.5635199531912805,-2.6333936382085086
772096,-2.563465904816985,-2.6317975129932165
774144,-2.563396043330431,-2.631935976818204
776192,-2.5640369951725006,-2.6310625545680524
778240,-2.564244693890214,-2.6299947567284105
780288,-2.564070815220475,-2.6284519098699093
782336,-2.5645357962697743,-2.6286095682531596
784384,-2.563799631223082,-2.6309837233275175
786432,-2.562288877740502,-2.6300811760127543
788480,-2.560466429963708,-2.6294779773801564
790528,-2.561354555934668,-2.628920606896281
792576,-2.560547702386976,-2.6279799837619064
794624,-2.559178049117327,-2.6263008058071136
796672,-2.55892661511898,-2.6270041208714248
798720,-2.558986455947161,-2.627459278330207
800768,-2.555332040041685,-2.6269860111176966
802816,-2.5564530074596403,-2.627624887228012
804864,-2.5551734760403635,-2.627157258242369
806912,-2.554688525944948,-2.627002018690109
808960,-2.552479039132595,-2.6254925884306433
811008,-2.553759729489684,-2.6234488539397716
813056,-2.5533667098730803,-2.6215473797172306
815104,-2.551869072765112,-2.621994427964091
817152,-2.549993856623769,-2.621287977695465
819200,-2.549953389167785,-2.62062067463994
821248,-2.550878383591771,-2.620125313475728
823296,-2.5530288875103,-2.6217517156153916
825344,-2.552993079647422,-2.622288715839386
827392,-2.552471235767007,-2.6231253989040852
829440,-2.552472611144185,-2.624323634058237
831488,-2.552257864177227,-2.6225823141634463
833536,-2.5536144569516184,-2.6226228296756746
835584,-2.551885637640953,-2.6231317676603796
837632,-2.5527949906885623,-2.6227612234652042
839680,-2.5544429641216992,-2.6240585073828697
841728,-2.5556198060512543,-2.6235858019441367
843776,-2.5554532274603843,-2.625341621041298
845824,-2.5558467604219914,-2.625916562601924
847872,-2.555421936511993,-2.6248232677578924
849920,-2.5545338921248915,-2.623439687490463
851968,-2.553598450869322,-2.622846504673362
854016,-2.5546709302812816,-2.6221861012279986
856064,-2.556279421970248,-2.6220747280865906
858112,-2.554027234017849,-2.621908604353666
860160,-2.553461531549692,-2.6219043999910356
862208,-2.552726286649704,-2.6229020550847055
864256,-2.552899405360222,-2.6237187746912243
866304,-2.55268091224134,-2.6215668324381114
868352,-2.5542218554764986,-2.621091330051422
870400,-2.5544347774237397,-2.6220291402190923
872448,-2.5545552022755147,-2.6224191308021547
874496,-2.5526279475539924,-2.6224510606378315
876544,-2.552989274635911,-2.6218875642865895
878592,-2.551059373095632,-2.6206740107387305
880640,-2.550593994557857,-2.621401298046112
882688,-2.5526961609721184,-2.6204387102276088
884736,-2.553598691150546,-2.6196203365921975
886784,-2.5527253288775684,-2.618221030756831
888832,-2.553497606143355,-2.61721256300807
890880,-2.552511315792799,-2.617204140499234
892928,-2.552217942848801,-2.6162409264594317
894976,-2.5542915210127832,-2.6174080174416305
897024,-2.5539655305445192,-2.6171501222997904
899072,-2.5558615274727345,-2.6199881963431837
901120,-2.5555842518806458,-2.6209787037223577
903168,-2.5546940565109253,-2.622523569315672
905216,-2.554466850683093,-2.6216933764517307
